URL,Platform/Site,Username,Content Type,Duration,Description,Date Found,DMCA Contact,Date Takedown Filed,Takedown Method,Response Received,Date Removed,Escalation Notes
https://www.camshowsrecorded.com/2024/04/29/chaturbate-lina_robbins-06-36-40,camshowsrecorded.com,lina_robbins,Video,01:00:00,"Chaturbate public show recorded April 29 2024. 495.83 MB on Keep2Share.",2026-04-10,See site DMCA/contact page,,,,,"Same operator as camshowrecordings.com and camshowarchives.com"
https://www.camshowsrecorded.com/2024/05/23/stripchat-lina_robbins-02-45-10,camshowsrecorded.com,lina_robbins,Video,01:02:00,"Stripchat public show recorded May 23 2024. 561.5 MB on TezFiles.",2026-04-10,See site DMCA/contact page,,,,,"Same operator as camshowrecordings.com and camshowarchives.com"
https://www.camshowrecordings.com/2024/04/29/chaturbate-lina_robbins-06-36-40,camshowrecordings.com,lina_robbins,Video,01:00:00,"Mirror of camshowsrecorded.com Chaturbate recording. Same file on Keep2Share.",2026-04-10,See site DMCA/contact page,,,,,"Same operator -- one DMCA notice should cover both"
https://www.showcamrips.com/model/en/lina_robbins/,showcamrips.com,lina_robbins,Video,Unknown,"Chaturbate webcam rip from 2025-01-04. Download available.",2026-04-10,https://www.showcamrips.com/contact/index.php,,,,,
https://myhotcams.net/model/lina_robbins,myhotcams.net,lina_robbins,Profile/Embed,N/A,"Aggregator site embedding live Chaturbate stream with tip menu. Chaturbate white-label affiliate.",2026-04-10,See site contact page,,,,,
https://recu.me/performer/lina_robbins,recu.me,lina_robbins,Video/Profile,Unknown,"Recurbate successor/mirror site with performer page and likely recordings.",2026-04-10,See site DMCA/contact page,,,,,
https://xhomealone.com/videos/132735/lina-hopkins-chaturbate-crazy-goal-lush-hard-pvt/,xhomealone.com,lina_hopkins,Video,11:41,"Chaturbate recording under old username. Title: Crazy Goal Lush Hard Pvt. 688 views.",2026-04-10,See site DMCA/Report Video button,,,,,"Behind Cloudflare. Registrar: NICENIC INTERNATIONAL GROUP"
https://xhomealone.com/search/lina_hopkins (related video 1),xhomealone.com,lina_hopkins,Video,07:02,"Chaturbate recording. Title: Crazy Goal xxxvideo Fingering.",2026-04-10,See site DMCA/Report Video button,,,,,
https://xhomealone.com/search/lina_hopkins (related video 2),xhomealone.com,lina_hopkins,Video,20:39,"Chaturbate recording. Title: First Time Real Slut female orgasm.",2026-04-10,See site DMCA/Report Video button,,,,,
https://xhomealone.com/search/lina_hopkins (related video 3),xhomealone.com,lina_hopkins,Video,16:17,"Chaturbate recording. Title: Live Cams striptease Nice Boobs.",2026-04-10,See site DMCA/Report Video button,,,,,
https://xhomealone.com/search/lina_hopkins (related video 4),xhomealone.com,lina_hopkins,Video,06:08,"Chaturbate recording. Title: Nora Shaved Rides.",2026-04-10,See site DMCA/Report Video button,,,,,
https://xhomealone.com/search/lina_hopkins (related video 5),xhomealone.com,lina_hopkins,Video,13:17,"Chaturbate recording. Title: Naked home alone mouth.",2026-04-10,See site DMCA/Report Video button,,,,,
